step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,0.21565651893615723,0.5580859780311584,-0.36569303274154663,-1.5204582214355469,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
1,0.02,1.0,0.0,0.22832977771759033,0.6092413067817688,-0.31227394938468933,-1.6793431043624878,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
2,0.04,1.0,0.0,0.24307572841644287,0.6630696654319763,-0.28796112537384033,-1.7278480529785156,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
3,0.06,1.0,0.0,0.2531089782714844,0.6942897439002991,-0.28202542662620544,-0.20179113745689392,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
4,0.08,1.0,0.0,0.2578110694885254,0.6208745837211609,-0.20055770874023438,-0.13345232605934143,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
5,0.1,1.0,0.0,0.2564495801925659,0.5770077705383301,-0.21874864399433136,0.7236624956130981,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
6,0.12,1.0,0.0,0.2543678283691406,0.5316867828369141,-0.23198935389518738,0.723044753074646,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
7,0.14,1.0,0.0,0.2539234161376953,0.5035852193832397,-0.24402904510498047,0.3151196837425232,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
8,0.16,1.0,0.0,0.25649237632751465,0.6233037114143372,-0.42365947365760803,-0.5868983864784241,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
9,0.18,1.0,0.0,0.2596771717071533,0.66673743724823,-0.46836021542549133,0.0780126303434372,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
10,0.2,1.0,0.0,0.26081979274749756,0.7321385741233826,-0.5139531493186951,0.050767991691827774,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
11,0.22,1.0,0.0,0.26477813720703125,0.7775354385375977,-0.5571758151054382,-0.3344425559043884,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
12,0.24,1.0,0.0,0.26890695095062256,0.8129633665084839,-0.5497788190841675,-0.4581295847892761,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
13,0.26,1.0,0.0,0.27512264251708984,0.8919524550437927,-0.5596158504486084,-0.753879189491272,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
14,0.28,1.0,0.0,0.28310298919677734,0.9530782699584961,-0.5604314804077148,-0.9995700120925903,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
15,0.3,1.0,0.0,0.29111671447753906,0.9884227514266968,-0.555976927280426,-1.00320565700531,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
16,0.32,1.0,0.0,0.29800140857696533,1.0080820322036743,-0.5486979484558105,-0.8598118424415588,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
17,0.34,1.0,0.0,0.30234503746032715,0.9970991015434265,-0.5513824224472046,-0.28810977935791016,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
18,0.36,1.0,0.0,0.30542027950286865,0.8381835222244263,-0.49664777517318726,-0.13140085339546204,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
19,0.38,1.0,0.0,0.3043299913406372,0.6824197173118591,-0.41533175110816956,0.2980895936489105,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
20,0.4,1.0,0.0,0.30193567276000977,0.5750026702880859,-0.3461010456085205,0.062261149287223816,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
21,0.42,1.0,0.0,0.30341827869415283,0.516274094581604,-0.29199081659317017,-0.3377170264720917,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
22,0.44,1.0,0.0,0.3059002161026001,0.47466835379600525,-0.23266445100307465,-0.3842153251171112,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
23,0.46,1.0,0.0,0.3064044713973999,0.43539637327194214,-0.17839108407497406,-0.21114902198314667,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
24,0.48,1.0,0.0,0.3033965826034546,0.3983287811279297,-0.14101898670196533,0.11648647487163544,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
25,0.5,1.0,0.0,0.29981422424316406,0.39732247591018677,-0.12214726954698563,0.12099140882492065,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
26,0.52,1.0,0.0,0.2969716787338257,0.41066625714302063,-0.12125067412853241,-0.07704787701368332,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
27,0.54,1.0,0.0,0.29553985595703125,0.43449729681015015,-0.13035045564174652,-0.18877466022968292,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
28,0.56,1.0,0.0,0.2967524528503418,0.45492124557495117,-0.1330132633447647,-0.4359649419784546,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
29,0.58,1.0,0.0,0.30018413066864014,0.47506457567214966,-0.1337822526693344,-0.48565927147865295,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
30,0.6,1.0,0.0,0.3031766414642334,0.4958752989768982,-0.12827762961387634,-0.2887754440307617,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
31,0.62,1.0,0.0,0.30422306060791016,0.5116816759109497,-0.11979386955499649,-0.07321634888648987,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
32,0.64,1.0,0.0,0.3035928010940552,0.5240339636802673,-0.11042231321334839,0.07308633625507355,0,2000,v2a_u08,0,0,42,1.0,0.0,walk_queue_ablation
