step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,0.800000011920929,0.30000001192092896,-1.030282735824585,0.23626551032066345,-0.42286205291748047,-0.46044477820396423,0,2000,strong30k,4,80,42,0.8,0.3,walk
1,0.02,0.800000011920929,0.30000001192092896,-1.0254734754562378,0.17850828170776367,-0.43280288577079773,-0.4092280864715576,0,2000,strong30k,4,80,42,0.8,0.3,walk
2,0.04,0.800000011920929,0.30000001192092896,-1.0218967199325562,0.14595794677734375,-0.43758776783943176,-0.34378582239151,0,2000,strong30k,4,80,42,0.8,0.3,walk
3,0.06,0.800000011920929,0.30000001192092896,-1.017118215560913,0.10270160436630249,-0.3913322985172272,-0.5488606095314026,0,2000,strong30k,4,80,42,0.8,0.3,walk
4,0.08,0.800000011920929,0.30000001192092896,-1.0115375518798828,0.049708765000104904,-0.370612233877182,-0.4867194890975952,0,2000,strong30k,4,80,42,0.8,0.3,walk
5,0.1,0.800000011920929,0.30000001192092896,-1.0127984285354614,0.06326764076948166,-0.31123533844947815,0.4785306751728058,0,2000,strong30k,4,80,42,0.8,0.3,walk
6,0.12,0.800000011920929,0.30000001192092896,-1.0158660411834717,0.04693073406815529,-0.3182794451713562,0.24274803698062897,0,2000,strong30k,4,80,42,0.8,0.3,walk
7,0.14,0.800000011920929,0.30000001192092896,-1.0167174339294434,0.00876651331782341,-0.3645046055316925,0.2465023547410965,0,2000,strong30k,4,80,42,0.8,0.3,walk
8,0.16,0.800000011920929,0.30000001192092896,-1.0159363746643066,0.0618160106241703,-0.4089756906032562,-0.042885638773441315,0,2000,strong30k,4,80,42,0.8,0.3,walk
9,0.18,0.800000011920929,0.30000001192092896,-1.0088250637054443,0.09221384674310684,-0.44962069392204285,-0.6086444854736328,0,2000,strong30k,4,80,42,0.8,0.3,walk
10,0.2,0.800000011920929,0.30000001192092896,-1.0005958080291748,0.15428735315799713,-0.485883504152298,-0.48001837730407715,0,2000,strong30k,4,80,42,0.8,0.3,walk
11,0.22,0.800000011920929,0.30000001192092896,-0.9975860714912415,0.25214946269989014,-0.5063067078590393,-0.00461308378726244,0,2000,strong30k,4,80,42,0.8,0.3,walk
12,0.24,0.800000011920929,0.30000001192092896,-0.9970375895500183,0.32508590817451477,-0.5310236215591431,-0.020214173942804337,0,2000,strong30k,4,80,42,0.8,0.3,walk
13,0.26,0.800000011920929,0.30000001192092896,-0.9950298070907593,0.37242910265922546,-0.5540092587471008,-0.2619241178035736,0,2000,strong30k,4,80,42,0.8,0.3,walk
14,0.28,0.800000011920929,0.30000001192092896,-0.991660475730896,0.3966958820819855,-0.5716092586517334,-0.34393036365509033,0,2000,strong30k,4,80,42,0.8,0.3,walk
15,0.3,0.800000011920929,0.30000001192092896,-0.9885674715042114,0.42757120728492737,-0.5937045812606812,-0.23735791444778442,0,2000,strong30k,4,80,42,0.8,0.3,walk
16,0.32,0.800000011920929,0.30000001192092896,-0.9859777092933655,0.47050610184669495,-0.6162244081497192,-0.30616894364356995,0,2000,strong30k,4,80,42,0.8,0.3,walk
17,0.34,0.800000011920929,0.30000001192092896,-0.9833765029907227,0.4990982413291931,-0.6432259678840637,-0.4043818414211273,0,2000,strong30k,4,80,42,0.8,0.3,walk
18,0.36,0.800000011920929,0.30000001192092896,-0.979556679725647,0.543615996837616,-0.6796662211418152,-0.5820585489273071,0,2000,strong30k,4,80,42,0.8,0.3,walk
19,0.38,0.800000011920929,0.30000001192092896,-0.9748578667640686,0.6012481451034546,-0.7146000266075134,-0.8013238310813904,0,2000,strong30k,4,80,42,0.8,0.3,walk
20,0.4,0.800000011920929,0.30000001192092896,-0.969243049621582,0.6437851190567017,-0.7615808844566345,-0.9282639026641846,0,2000,strong30k,4,80,42,0.8,0.3,walk
21,0.42,0.800000011920929,0.30000001192092896,-0.9594101905822754,0.6149430274963379,-0.7563955187797546,-1.25375497341156,0,2000,strong30k,4,80,42,0.8,0.3,walk
22,0.44,0.800000011920929,0.30000001192092896,-0.9555038213729858,0.5797191858291626,-0.604982316493988,0.10551463067531586,0,2000,strong30k,4,80,42,0.8,0.3,walk
23,0.46,0.800000011920929,0.30000001192092896,-0.9589731097221375,0.550991952419281,-0.4933093786239624,0.34048622846603394,0,2000,strong30k,4,80,42,0.8,0.3,walk
24,0.48,0.800000011920929,0.30000001192092896,-0.9604624509811401,0.5501251816749573,-0.4304492473602295,-0.1886010468006134,0,2000,strong30k,4,80,42,0.8,0.3,walk
25,0.5,0.800000011920929,0.30000001192092896,-0.9568042159080505,0.55653977394104,-0.38882943987846375,-0.8583394885063171,0,2000,strong30k,4,80,42,0.8,0.3,walk
26,0.52,0.800000011920929,0.30000001192092896,-0.9479995369911194,0.57105952501297,-0.3653847575187683,-1.374592661857605,0,2000,strong30k,4,80,42,0.8,0.3,walk
27,0.54,0.800000011920929,0.30000001192092896,-0.9384973645210266,0.5865948796272278,-0.3242734968662262,-1.0607483386993408,0,2000,strong30k,4,80,42,0.8,0.3,walk
28,0.56,0.800000011920929,0.30000001192092896,-0.9331761598587036,0.591891884803772,-0.2863493859767914,-0.5037760138511658,0,2000,strong30k,4,80,42,0.8,0.3,walk
29,0.58,0.800000011920929,0.30000001192092896,-0.933098554611206,0.5794793963432312,-0.2644762694835663,-0.029875077307224274,0,2000,strong30k,4,80,42,0.8,0.3,walk
30,0.6,0.800000011920929,0.30000001192092896,-0.9365252256393433,0.55255126953125,-0.24457338452339172,0.15849435329437256,0,2000,strong30k,4,80,42,0.8,0.3,walk
31,0.62,0.800000011920929,0.30000001192092896,-0.9402556419372559,0.5421083569526672,-0.22838041186332703,0.10926052182912827,0,2000,strong30k,4,80,42,0.8,0.3,walk
32,0.64,0.800000011920929,0.30000001192092896,-0.9409345388412476,0.5471100211143494,-0.21591727435588837,-0.26356229186058044,0,2000,strong30k,4,80,42,0.8,0.3,walk
33,0.66,0.800000011920929,0.30000001192092896,-0.9376873970031738,0.5611666440963745,-0.19691085815429688,-0.5226425528526306,0,2000,strong30k,4,80,42,0.8,0.3,walk
34,0.68,0.800000011920929,0.30000001192092896,-0.9317792057991028,0.5807075500488281,-0.17707809805870056,-0.727061927318573,0,2000,strong30k,4,80,42,0.8,0.3,walk
35,0.7000000000000001,0.800000011920929,0.30000001192092896,-0.9257658123970032,0.619598388671875,-0.15321974456310272,-0.5834155082702637,0,2000,strong30k,4,80,42,0.8,0.3,walk
36,0.72,0.800000011920929,0.30000001192092896,-0.9206007122993469,0.67484050989151,-0.13725607097148895,-0.43609142303466797,0,2000,strong30k,4,80,42,0.8,0.3,walk
