step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,0.800000011920929,0.30000001192092896,-1.0294387340545654,0.21398377418518066,-0.425141304731369,-0.570838212966919,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
1,0.02,0.800000011920929,0.30000001192092896,-1.0228270292282104,0.15744540095329285,-0.43316417932510376,-0.5037274360656738,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
2,0.04,0.800000011920929,0.30000001192092896,-1.019603967666626,0.11824333667755127,-0.43652230501174927,-0.2446742206811905,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
3,0.06,0.800000011920929,0.30000001192092896,-1.0165950059890747,0.08014911413192749,-0.41148295998573303,-0.44468921422958374,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
4,0.08,0.800000011920929,0.30000001192092896,-1.014472484588623,0.050746772438287735,-0.392941415309906,-0.06991486251354218,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
5,0.1,0.800000011920929,0.30000001192092896,-1.0168811082839966,0.1260303258895874,-0.3721170127391815,0.48689261078834534,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
6,0.12,0.800000011920929,0.30000001192092896,-1.0225859880447388,0.11277599632740021,-0.39907997846603394,0.45726704597473145,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
7,0.14,0.800000011920929,0.30000001192092896,-1.0241544246673584,0.16481448709964752,-0.5024210214614868,0.144260972738266,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
8,0.16,0.800000011920929,0.30000001192092896,-1.022072672843933,0.2014511078596115,-0.5613918900489807,-0.08601487427949905,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
9,0.18,0.800000011920929,0.30000001192092896,-1.0179548263549805,0.21335847675800323,-0.6107054948806763,0.008051417768001556,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
10,0.2,0.800000011920929,0.30000001192092896,-1.0181241035461426,0.24020496010780334,-0.6526020169258118,0.3553164005279541,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
11,0.22,0.800000011920929,0.30000001192092896,-1.0202151536941528,0.3035185635089874,-0.7007116079330444,0.4357645511627197,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
12,0.24,0.800000011920929,0.30000001192092896,-1.0224440097808838,0.39209893345832825,-0.7640449404716492,0.28758102655410767,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
13,0.26,0.800000011920929,0.30000001192092896,-1.0257021188735962,0.4350801706314087,-0.809447705745697,0.48173844814300537,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
14,0.28,0.800000011920929,0.30000001192092896,-1.0286874771118164,0.4482359290122986,-0.8379992246627808,0.35765090584754944,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
15,0.3,0.800000011920929,0.30000001192092896,-1.035563588142395,0.4784891605377197,-0.8511016964912415,0.9586069583892822,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
16,0.32,0.800000011920929,0.30000001192092896,-1.0431305170059204,0.5816311240196228,-0.8946017026901245,0.38782793283462524,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
17,0.34,0.800000011920929,0.30000001192092896,-1.0444046258926392,0.6945544481277466,-0.9421150088310242,-0.16842487454414368,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
18,0.36,0.800000011920929,0.30000001192092896,-1.0440441370010376,0.7435550689697266,-0.9597839117050171,-0.16364145278930664,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
19,0.38,0.800000011920929,0.30000001192092896,-1.0471054315567017,0.7595801949501038,-1.0020811557769775,0.20644360780715942,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
20,0.4,0.800000011920929,0.30000001192092896,-1.0521528720855713,0.7772764563560486,-1.0244112014770508,-0.23310667276382446,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
21,0.42,0.800000011920929,0.30000001192092896,-1.0523643493652344,0.6981314420700073,-0.9204797148704529,0.30542832612991333,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
22,0.44,0.800000011920929,0.30000001192092896,-1.0619075298309326,0.6538957953453064,-0.7194616794586182,1.046463131904602,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
23,0.46,0.800000011920929,0.30000001192092896,-1.0720093250274658,0.6400995254516602,-0.5814738273620605,0.49980756640434265,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
24,0.48,0.800000011920929,0.30000001192092896,-1.0760464668273926,0.6430527567863464,-0.5111351609230042,-0.3439822196960449,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
25,0.5,0.800000011920929,0.30000001192092896,-1.074560523033142,0.6674032807350159,-0.449080228805542,-0.7162937521934509,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
26,0.52,0.800000011920929,0.30000001192092896,-1.0719575881958008,0.6658259034156799,-0.4174422025680542,-0.882024884223938,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
27,0.54,0.800000011920929,0.30000001192092896,-1.068471908569336,0.6741945147514343,-0.399463027715683,-0.6077753305435181,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
28,0.56,0.800000011920929,0.30000001192092896,-1.0665664672851562,0.6680285334587097,-0.3813503086566925,-0.3972470164299011,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
29,0.58,0.800000011920929,0.30000001192092896,-1.0652613639831543,0.6672513484954834,-0.3892044126987457,-0.29828470945358276,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
30,0.6,0.800000011920929,0.30000001192092896,-1.0634369850158691,0.6709154844284058,-0.406055748462677,-0.32926145195961,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
31,0.62,0.800000011920929,0.30000001192092896,-1.0628045797348022,0.6663784384727478,-0.41238364577293396,-0.15004271268844604,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
32,0.64,0.800000011920929,0.30000001192092896,-1.063776969909668,0.6605687737464905,-0.40770140290260315,0.009356804192066193,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
33,0.66,0.800000011920929,0.30000001192092896,-1.0653268098831177,0.6612847447395325,-0.40674084424972534,0.02143651247024536,0,2000,v2a_u08,4,80,42,0.8,0.3,walk_queue_ablation
