delay_steps,delay_ms,mse
0,0,0.024866687133908272
1,20,0.0239203292876482
2,40,0.025043457746505737
3,60,0.02550555393099785
4,80,0.026568185538053513
5,100,0.029827430844306946
6,120,0.03230603411793709
7,140,0.03764543682336807
8,160,0.04960690066218376
