clamp_mode,success,length_mean,track_mean
keep5,37.8%±8.4,906.0222222222222,0.15900174207345244
clamp_delay,13.3%±10.0,609.3000000000001,0.15933463573012932
full,5.6%±5.1,431.84444444444443,0.09944990417506973
zero_queue,0.0%,97.2,0.004243129099858433
