step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,-1.0274837017059326,0.2126932144165039,-0.4277842342853546,-0.7740506529808044,0,2000,strong,2,40,42,1.0,0.0,walk
1,0.02,1.0,0.0,-1.0182524919509888,0.18917489051818848,-0.4365586042404175,-0.6332105994224548,0,2000,strong,2,40,42,1.0,0.0,walk
2,0.04,1.0,0.0,-1.016411542892456,0.1544649302959442,-0.44063523411750793,0.08096683025360107,0,2000,strong,2,40,42,1.0,0.0,walk
3,0.06,1.0,0.0,-1.024721384048462,0.14742395281791687,-0.3514920771121979,0.41916608810424805,0,2000,strong,2,40,42,1.0,0.0,walk
4,0.08,1.0,0.0,-1.0260400772094727,0.09508464485406876,-0.31574830412864685,-0.008166929706931114,0,2000,strong,2,40,42,1.0,0.0,walk
5,0.1,1.0,0.0,-1.0219981670379639,-0.01645597815513611,-0.38487064838409424,-0.0822312980890274,0,2000,strong,2,40,42,1.0,0.0,walk
6,0.12,1.0,0.0,-1.0159233808517456,-0.007948752492666245,-0.4437991678714752,-0.5501028299331665,0,2000,strong,2,40,42,1.0,0.0,walk
7,0.14,1.0,0.0,-1.0062243938446045,0.01903667114675045,-0.49170583486557007,-0.8081467151641846,0,2000,strong,2,40,42,1.0,0.0,walk
8,0.16,1.0,0.0,-0.9959455728530884,0.06780005246400833,-0.5401588082313538,-0.49456965923309326,0,2000,strong,2,40,42,1.0,0.0,walk
9,0.18,1.0,0.0,-0.9896118640899658,0.15895923972129822,-0.5763294696807861,-0.2889930009841919,0,2000,strong,2,40,42,1.0,0.0,walk
10,0.2,1.0,0.0,-0.9845223426818848,0.24703042209148407,-0.606349527835846,-0.39841383695602417,0,2000,strong,2,40,42,1.0,0.0,walk
11,0.22,1.0,0.0,-0.9812606573104858,0.30969786643981934,-0.6102468371391296,-0.2986944615840912,0,2000,strong,2,40,42,1.0,0.0,walk
12,0.24,1.0,0.0,-0.9785306453704834,0.3370320200920105,-0.6374688744544983,-0.27849334478378296,0,2000,strong,2,40,42,1.0,0.0,walk
13,0.26,1.0,0.0,-0.9749811887741089,0.3698800206184387,-0.6658443808555603,-0.3564976453781128,0,2000,strong,2,40,42,1.0,0.0,walk
14,0.28,1.0,0.0,-0.9704480767250061,0.39558109641075134,-0.6893984079360962,-0.5612248182296753,0,2000,strong,2,40,42,1.0,0.0,walk
15,0.3,1.0,0.0,-0.9670007228851318,0.4077160954475403,-0.7008277177810669,-0.42483359575271606,0,2000,strong,2,40,42,1.0,0.0,walk
16,0.32,1.0,0.0,-0.9673219919204712,0.4110085666179657,-0.733172595500946,-0.037737295031547546,0,2000,strong,2,40,42,1.0,0.0,walk
17,0.34,1.0,0.0,-0.9699680805206299,0.42353567481040955,-0.7828041911125183,0.00421002134680748,0,2000,strong,2,40,42,1.0,0.0,walk
18,0.36,1.0,0.0,-0.9710708856582642,0.4380451440811157,-0.8422356843948364,-0.328034371137619,0,2000,strong,2,40,42,1.0,0.0,walk
19,0.38,1.0,0.0,-0.967050313949585,0.43072277307510376,-0.9152902960777283,-0.8409667611122131,0,2000,strong,2,40,42,1.0,0.0,walk
20,0.4,1.0,0.0,-0.9603036642074585,0.35503071546554565,-0.8174002766609192,-0.28432998061180115,0,2000,strong,2,40,42,1.0,0.0,walk
21,0.42,1.0,0.0,-0.9603078365325928,0.3105749189853668,-0.6732903122901917,0.3690186142921448,0,2000,strong,2,40,42,1.0,0.0,walk
22,0.44,1.0,0.0,-0.9625557661056519,0.3264203667640686,-0.549546480178833,0.27700307965278625,0,2000,strong,2,40,42,1.0,0.0,walk
23,0.46,1.0,0.0,-0.961458146572113,0.3476034104824066,-0.4970623552799225,-0.5147367715835571,0,2000,strong,2,40,42,1.0,0.0,walk
24,0.48,1.0,0.0,-0.9564242362976074,0.36893540620803833,-0.44733139872550964,-0.8026933670043945,0,2000,strong,2,40,42,1.0,0.0,walk
25,0.5,1.0,0.0,-0.9505844116210938,0.38559025526046753,-0.41249504685401917,-0.7603629231452942,0,2000,strong,2,40,42,1.0,0.0,walk
26,0.52,1.0,0.0,-0.9458297491073608,0.3869231343269348,-0.39988747239112854,-0.5891998410224915,0,2000,strong,2,40,42,1.0,0.0,walk
27,0.54,1.0,0.0,-0.9437570571899414,0.37897181510925293,-0.3852039873600006,-0.2382524311542511,0,2000,strong,2,40,42,1.0,0.0,walk
28,0.56,1.0,0.0,-0.9459606409072876,0.3541702628135681,-0.37531012296676636,0.15060780942440033,0,2000,strong,2,40,42,1.0,0.0,walk
29,0.58,1.0,0.0,-0.9516069293022156,0.32137438654899597,-0.3552060127258301,0.45450323820114136,0,2000,strong,2,40,42,1.0,0.0,walk
30,0.6,1.0,0.0,-0.9589287042617798,0.29554563760757446,-0.3358954191207886,0.5229547619819641,0,2000,strong,2,40,42,1.0,0.0,walk
31,0.62,1.0,0.0,-0.9656761288642883,0.2840668559074402,-0.3181282579898834,0.4130590260028839,0,2000,strong,2,40,42,1.0,0.0,walk
32,0.64,1.0,0.0,-0.9708127379417419,0.28799694776535034,-0.3118518888950348,0.31020545959472656,0,2000,strong,2,40,42,1.0,0.0,walk
33,0.66,1.0,0.0,-0.9737917184829712,0.3092099726200104,-0.3100983500480652,0.1198950707912445,0,2000,strong,2,40,42,1.0,0.0,walk
34,0.68,1.0,0.0,-0.9745540618896484,0.3391716182231903,-0.31265243887901306,-0.025084102526307106,0,2000,strong,2,40,42,1.0,0.0,walk
35,0.7000000000000001,1.0,0.0,-0.9738507866859436,0.3680499196052551,-0.3138229250907898,-0.09757936745882034,0,2000,strong,2,40,42,1.0,0.0,walk
36,0.72,1.0,0.0,-0.9724476337432861,0.3941391110420227,-0.3106706738471985,-0.131727397441864,0,2000,strong,2,40,42,1.0,0.0,walk
37,0.74,1.0,0.0,-0.9700373411178589,0.4148658215999603,-0.30674096941947937,-0.2465711534023285,0,2000,strong,2,40,42,1.0,0.0,walk
