step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,0.21905219554901123,0.5629492998123169,-0.3636292815208435,-1.8339029550552368,0,2000,strong,0,0,42,1.0,0.0,walk
1,0.02,1.0,0.0,0.2352585792541504,0.6486467719078064,-0.3084873855113983,-2.289111375808716,0,2000,strong,0,0,42,1.0,0.0,walk
2,0.04,1.0,0.0,0.25785136222839355,0.6820801496505737,-0.22959962487220764,-1.9650522470474243,0,2000,strong,0,0,42,1.0,0.0,walk
3,0.06,1.0,0.0,0.2749520540237427,0.659678041934967,-0.18707478046417236,-0.9382386803627014,0,2000,strong,0,0,42,1.0,0.0,walk
4,0.08,1.0,0.0,0.2853724956512451,0.5582485795021057,-0.1620229035615921,-0.9356112480163574,0,2000,strong,0,0,42,1.0,0.0,walk
5,0.1,1.0,0.0,0.29274511337280273,0.5979946255683899,-0.25239500403404236,-0.5603097677230835,0,2000,strong,0,0,42,1.0,0.0,walk
6,0.12,1.0,0.0,0.29984819889068604,0.5762554407119751,-0.2948325574398041,-0.11938295513391495,0,2000,strong,0,0,42,1.0,0.0,walk
7,0.14,1.0,0.0,0.3061940670013428,0.6327928900718689,-0.33660992980003357,-0.3446641266345978,0,2000,strong,0,0,42,1.0,0.0,walk
8,0.16,1.0,0.0,0.3097797632217407,0.6880735158920288,-0.3578885793685913,-0.21391072869300842,0,2000,strong,0,0,42,1.0,0.0,walk
9,0.18,1.0,0.0,0.3138725757598877,0.7404821515083313,-0.3811095654964447,-0.44669634103775024,0,2000,strong,0,0,42,1.0,0.0,walk
10,0.2,1.0,0.0,0.32029783725738525,0.7769201993942261,-0.4171209931373596,-0.5737997889518738,0,2000,strong,0,0,42,1.0,0.0,walk
11,0.22,1.0,0.0,0.3264693021774292,0.8259403109550476,-0.4349669814109802,-0.4983958601951599,0,2000,strong,0,0,42,1.0,0.0,walk
12,0.24,1.0,0.0,0.3303600549697876,0.859460175037384,-0.4470311403274536,-0.41323015093803406,0,2000,strong,0,0,42,1.0,0.0,walk
13,0.26,1.0,0.0,0.33416712284088135,0.8958333730697632,-0.4715269207954407,-0.44298431277275085,0,2000,strong,0,0,42,1.0,0.0,walk
14,0.28,1.0,0.0,0.33528029918670654,0.9412446022033691,-0.5008615255355835,-0.13485048711299896,0,2000,strong,0,0,42,1.0,0.0,walk
15,0.3,1.0,0.0,0.3348034620285034,0.9815160036087036,-0.5352428555488586,-0.05518413335084915,0,2000,strong,0,0,42,1.0,0.0,walk
16,0.32,1.0,0.0,0.3319584131240845,1.007262110710144,-0.5731061697006226,0.24189698696136475,0,2000,strong,0,0,42,1.0,0.0,walk
17,0.34,1.0,0.0,0.32609009742736816,1.0074514150619507,-0.6192599534988403,0.5713274478912354,0,2000,strong,0,0,42,1.0,0.0,walk
18,0.36,1.0,0.0,0.3204547166824341,0.8634657263755798,-0.5301632881164551,0.8790733218193054,0,2000,strong,0,0,42,1.0,0.0,walk
19,0.38,1.0,0.0,0.31233882904052734,0.7269994616508484,-0.4241982400417328,0.7877194881439209,0,2000,strong,0,0,42,1.0,0.0,walk
20,0.4,1.0,0.0,0.30521976947784424,0.6020049452781677,-0.3010653853416443,0.533244252204895,0,2000,strong,0,0,42,1.0,0.0,walk
21,0.42,1.0,0.0,0.30295348167419434,0.5277804136276245,-0.21223454177379608,-0.01560145802795887,0,2000,strong,0,0,42,1.0,0.0,walk
22,0.44,1.0,0.0,0.3035459518432617,0.49900028109550476,-0.16630393266677856,-0.12782669067382812,0,2000,strong,0,0,42,1.0,0.0,walk
23,0.46,1.0,0.0,0.3063164949417114,0.5010746121406555,-0.14680291712284088,-0.4831063151359558,0,2000,strong,0,0,42,1.0,0.0,walk
24,0.48,1.0,0.0,0.3094285726547241,0.5081756711006165,-0.1387680023908615,-0.38948142528533936,0,2000,strong,0,0,42,1.0,0.0,walk
25,0.5,1.0,0.0,0.31073081493377686,0.5023021101951599,-0.12840139865875244,-0.19218795001506805,0,2000,strong,0,0,42,1.0,0.0,walk
26,0.52,1.0,0.0,0.3101264238357544,0.48524704575538635,-0.11415696144104004,-0.14202913641929626,0,2000,strong,0,0,42,1.0,0.0,walk
27,0.54,1.0,0.0,0.30738937854766846,0.4439024031162262,-0.08161735534667969,0.09314220398664474,0,2000,strong,0,0,42,1.0,0.0,walk
28,0.56,1.0,0.0,0.30203282833099365,0.4147851765155792,-0.05703010782599449,0.311819851398468,0,2000,strong,0,0,42,1.0,0.0,walk
29,0.58,1.0,0.0,0.29653608798980713,0.40703779458999634,-0.042352646589279175,0.29007625579833984,0,2000,strong,0,0,42,1.0,0.0,walk
30,0.6,1.0,0.0,0.29136860370635986,0.40918898582458496,-0.027900731191039085,0.3132770359516144,0,2000,strong,0,0,42,1.0,0.0,walk
31,0.62,1.0,0.0,0.2860788106918335,0.4164758026599884,-0.009854777716100216,0.3766918480396271,0,2000,strong,0,0,42,1.0,0.0,walk
32,0.64,1.0,0.0,0.2810462713241577,0.4328816533088684,0.004373971372842789,0.37376511096954346,0,2000,strong,0,0,42,1.0,0.0,walk
33,0.66,1.0,0.0,0.2768208980560303,0.4530794620513916,0.018342366442084312,0.3178296685218811,0,2000,strong,0,0,42,1.0,0.0,walk
34,0.68,1.0,0.0,0.27421295642852783,0.47624510526657104,0.032546013593673706,0.16456805169582367,0,2000,strong,0,0,42,1.0,0.0,walk
35,0.7000000000000001,1.0,0.0,0.2739865779876709,0.5026212334632874,0.04662125185132027,-0.03680424392223358,0,2000,strong,0,0,42,1.0,0.0,walk
36,0.72,1.0,0.0,0.2761014699935913,0.5324655771255493,0.06289246678352356,-0.1876826137304306,0,2000,strong,0,0,42,1.0,0.0,walk
37,0.74,1.0,0.0,0.27973055839538574,0.5617734789848328,0.08425390720367432,-0.24557733535766602,0,2000,strong,0,0,42,1.0,0.0,walk
38,0.76,1.0,0.0,0.2837916612625122,0.5864155292510986,0.11257659643888474,-0.22355228662490845,0,2000,strong,0,0,42,1.0,0.0,walk
39,0.78,1.0,0.0,0.2873443365097046,0.606490969657898,0.14623263478279114,-0.16807323694229126,0,2000,strong,0,0,42,1.0,0.0,walk
40,0.8,1.0,0.0,0.2899007797241211,0.6229755878448486,0.18377739191055298,-0.1012260764837265,0,2000,strong,0,0,42,1.0,0.0,walk
41,0.8200000000000001,1.0,0.0,0.2910698652267456,0.638094961643219,0.22466853260993958,0.009228505194187164,0,2000,strong,0,0,42,1.0,0.0,walk
42,0.84,1.0,0.0,0.29090726375579834,0.6508396863937378,0.2654736638069153,0.1482616662979126,0,2000,strong,0,0,42,1.0,0.0,walk
43,0.86,1.0,0.0,0.28945302963256836,0.6306269764900208,0.25370368361473083,0.08328573405742645,0,2000,strong,0,0,42,1.0,0.0,walk
44,0.88,1.0,0.0,0.29067957401275635,0.5853815078735352,0.1878472864627838,-0.2745690643787384,0,2000,strong,0,0,42,1.0,0.0,walk
45,0.9,1.0,0.0,0.2946120500564575,0.5586384534835815,0.15575753152370453,-0.2542118430137634,0,2000,strong,0,0,42,1.0,0.0,walk
46,0.92,1.0,0.0,0.2970772981643677,0.5415600538253784,0.12773294746875763,0.00476865004748106,0,2000,strong,0,0,42,1.0,0.0,walk
47,0.9400000000000001,1.0,0.0,0.2980210781097412,0.5042831301689148,0.10235904157161713,0.2837196886539459,0,2000,strong,0,0,42,1.0,0.0,walk
48,0.96,1.0,0.0,0.29660308361053467,0.4808388352394104,0.07175923883914948,0.4936753511428833,0,2000,strong,0,0,42,1.0,0.0,walk
49,0.98,1.0,0.0,0.2938777208328247,0.4647425711154938,0.0407341904938221,0.5251237750053406,0,2000,strong,0,0,42,1.0,0.0,walk
50,1.0,1.0,0.0,0.290441632270813,0.45914390683174133,0.01611732877790928,0.5053642988204956,0,2000,strong,0,0,42,1.0,0.0,walk
51,1.02,1.0,0.0,0.28778743743896484,0.45572805404663086,-0.012416437268257141,0.37956419587135315,0,2000,strong,0,0,42,1.0,0.0,walk
52,1.04,1.0,0.0,0.28706467151641846,0.45461106300354004,-0.03715614974498749,0.13490355014801025,0,2000,strong,0,0,42,1.0,0.0,walk
53,1.06,1.0,0.0,0.2881803512573242,0.461713582277298,-0.05690355226397514,-0.058523524552583694,0,2000,strong,0,0,42,1.0,0.0,walk
54,1.08,1.0,0.0,0.29004693031311035,0.46604079008102417,-0.07261095941066742,-0.10697729140520096,0,2000,strong,0,0,42,1.0,0.0,walk
55,1.1,1.0,0.0,0.29197490215301514,0.4769490659236908,-0.08666148781776428,-0.15553683042526245,0,2000,strong,0,0,42,1.0,0.0,walk
56,1.12,1.0,0.0,0.2941969633102417,0.4933583736419678,-0.10042689740657806,-0.2309333235025406,0,2000,strong,0,0,42,1.0,0.0,walk
57,1.1400000000000001,1.0,0.0,0.2965494394302368,0.5135675072669983,-0.11333273351192474,-0.257803738117218,0,2000,strong,0,0,42,1.0,0.0,walk
58,1.16,1.0,0.0,0.2985670566558838,0.5366448760032654,-0.12848009169101715,-0.2410758137702942,0,2000,strong,0,0,42,1.0,0.0,walk
59,1.18,1.0,0.0,0.29955899715423584,0.563290536403656,-0.14746762812137604,-0.14839138090610504,0,2000,strong,0,0,42,1.0,0.0,walk
60,1.2,1.0,0.0,0.29900872707366943,0.5949323773384094,-0.17070095241069794,-0.025281012058258057,0,2000,strong,0,0,42,1.0,0.0,walk
61,1.22,1.0,0.0,0.2968961000442505,0.6235558390617371,-0.20089268684387207,0.10479424148797989,0,2000,strong,0,0,42,1.0,0.0,walk
