step,time_s,vx_cmd,vy_cmd,yaw_cmd,vx_actual,vy_actual,yaw_actual,fell,episode_steps,policy,delay_steps,delay_ms,seed,lin_vel_x,lin_vel_y,task
0,0.0,1.0,0.0,-1.020255208015442,0.1907009482383728,-0.44829800724983215,-1.3874691724777222,1,143,nominal,2,40,42,1.0,0.0,walk
1,0.02,1.0,0.0,-1.0098069906234741,0.17893880605697632,-0.4315200746059418,-0.8564450740814209,1,143,nominal,2,40,42,1.0,0.0,walk
2,0.04,1.0,0.0,-1.001935601234436,0.16508780419826508,-0.43465593457221985,-0.7973823547363281,1,143,nominal,2,40,42,1.0,0.0,walk
3,0.06,1.0,0.0,-0.9897035360336304,0.1749463826417923,-0.43826600909233093,-1.1171674728393555,1,143,nominal,2,40,42,1.0,0.0,walk
4,0.08,1.0,0.0,-0.9777225255966187,0.21859019994735718,-0.43249091506004333,-0.9004254341125488,1,143,nominal,2,40,42,1.0,0.0,walk
5,0.1,1.0,0.0,-0.9741347432136536,0.2574961483478546,-0.5287261009216309,0.20228509604930878,1,143,nominal,2,40,42,1.0,0.0,walk
6,0.12,1.0,0.0,-0.972104012966156,0.4034227728843689,-0.5506443381309509,-0.2983647286891937,1,143,nominal,2,40,42,1.0,0.0,walk
7,0.14,1.0,0.0,-0.96571946144104,0.5170626044273376,-0.575746476650238,-0.6292667984962463,1,143,nominal,2,40,42,1.0,0.0,walk
8,0.16,1.0,0.0,-0.9624475836753845,0.5693811774253845,-0.5802921056747437,0.055997464805841446,1,143,nominal,2,40,42,1.0,0.0,walk
9,0.18,1.0,0.0,-0.9660818576812744,0.5888915657997131,-0.5932008028030396,0.48637890815734863,1,143,nominal,2,40,42,1.0,0.0,walk
10,0.2,1.0,0.0,-0.9687549471855164,0.597038745880127,-0.6165614724159241,0.17280234396457672,1,143,nominal,2,40,42,1.0,0.0,walk
11,0.22,1.0,0.0,-0.9650157690048218,0.611495316028595,-0.6427440643310547,-0.5406613945960999,1,143,nominal,2,40,42,1.0,0.0,walk
12,0.24,1.0,0.0,-0.95780348777771,0.6408301591873169,-0.6460735201835632,-0.9191216230392456,1,143,nominal,2,40,42,1.0,0.0,walk
13,0.26,1.0,0.0,-0.9459831118583679,0.7183834910392761,-0.6819640398025513,-1.3739862442016602,1,143,nominal,2,40,42,1.0,0.0,walk
14,0.28,1.0,0.0,-0.9337884187698364,0.7934152483940125,-0.7036015391349792,-1.0166237354278564,1,143,nominal,2,40,42,1.0,0.0,walk
15,0.3,1.0,0.0,-0.928665041923523,0.8457372188568115,-0.7177837491035461,-0.1666845977306366,1,143,nominal,2,40,42,1.0,0.0,walk
16,0.32,1.0,0.0,-0.9321299195289612,0.8860267996788025,-0.7308630347251892,0.5730944275856018,1,143,nominal,2,40,42,1.0,0.0,walk
17,0.34,1.0,0.0,-0.9386258721351624,0.9275213479995728,-0.7765882611274719,0.6389671564102173,1,143,nominal,2,40,42,1.0,0.0,walk
18,0.36,1.0,0.0,-0.9424669742584229,0.9704744219779968,-0.818533182144165,0.15551604330539703,1,143,nominal,2,40,42,1.0,0.0,walk
19,0.38,1.0,0.0,-0.9450122714042664,0.9196340441703796,-0.8051415681838989,0.6739373803138733,1,143,nominal,2,40,42,1.0,0.0,walk
20,0.4,1.0,0.0,-0.9546753168106079,0.8165414333343506,-0.7260703444480896,1.1511505842208862,1,143,nominal,2,40,42,1.0,0.0,walk
21,0.42,1.0,0.0,-0.9654232263565063,0.7151692509651184,-0.6247079372406006,0.9540423154830933,1,143,nominal,2,40,42,1.0,0.0,walk
22,0.44,1.0,0.0,-0.9668617248535156,0.6483912467956543,-0.5362861752510071,-0.6164225339889526,1,143,nominal,2,40,42,1.0,0.0,walk
23,0.46,1.0,0.0,-0.9529382586479187,0.6503520011901855,-0.479522705078125,-1.9850733280181885,1,143,nominal,2,40,42,1.0,0.0,walk
24,0.48,1.0,0.0,-0.9334827661514282,0.6852505207061768,-0.46629467606544495,-1.9362239837646484,1,143,nominal,2,40,42,1.0,0.0,walk
25,0.5,1.0,0.0,-0.9226690530776978,0.7131628394126892,-0.4814288914203644,-0.7170175909996033,1,143,nominal,2,40,42,1.0,0.0,walk
26,0.52,1.0,0.0,-0.9261853694915771,0.7106284499168396,-0.5227134227752686,0.6441408395767212,1,143,nominal,2,40,42,1.0,0.0,walk
27,0.54,1.0,0.0,-0.938258945941925,0.6744301319122314,-0.5699055790901184,1.044661521911621,1,143,nominal,2,40,42,1.0,0.0,walk
28,0.56,1.0,0.0,-0.946634829044342,0.6312920451164246,-0.5933514833450317,0.22300507128238678,1,143,nominal,2,40,42,1.0,0.0,walk
29,0.58,1.0,0.0,-0.9441108703613281,0.6041938066482544,-0.5878843665122986,-0.9488936066627502,1,143,nominal,2,40,42,1.0,0.0,walk
30,0.6,1.0,0.0,-0.9318720102310181,0.6146773099899292,-0.5694207549095154,-1.5859246253967285,1,143,nominal,2,40,42,1.0,0.0,walk
31,0.62,1.0,0.0,-0.9176142811775208,0.6495644450187683,-0.5544293522834778,-1.3733797073364258,1,143,nominal,2,40,42,1.0,0.0,walk
32,0.64,1.0,0.0,-0.9093354940414429,0.6811323761940002,-0.5556429028511047,-0.5623787045478821,1,143,nominal,2,40,42,1.0,0.0,walk
33,0.66,1.0,0.0,-0.9077863693237305,0.7004432082176208,-0.573630154132843,-0.03860267996788025,1,143,nominal,2,40,42,1.0,0.0,walk
34,0.68,1.0,0.0,-0.9084451198577881,0.7124750018119812,-0.5941135883331299,-0.013295033015310764,1,143,nominal,2,40,42,1.0,0.0,walk
35,0.7000000000000001,1.0,0.0,-0.9074565768241882,0.7214652299880981,-0.6082561016082764,-0.29967600107192993,1,143,nominal,2,40,42,1.0,0.0,walk
36,0.72,1.0,0.0,-0.9036555290222168,0.7474592328071594,-0.6195462942123413,-0.5094597339630127,1,143,nominal,2,40,42,1.0,0.0,walk
37,0.74,1.0,0.0,-0.8989775776863098,0.8015323281288147,-0.6285639405250549,-0.45555785298347473,1,143,nominal,2,40,42,1.0,0.0,walk
38,0.76,1.0,0.0,-0.8955400586128235,0.8831064105033875,-0.6336944103240967,-0.2823617458343506,1,143,nominal,2,40,42,1.0,0.0,walk
39,0.78,1.0,0.0,-0.8937521576881409,0.9727483987808228,-0.6391213536262512,-0.14733393490314484,1,143,nominal,2,40,42,1.0,0.0,walk
40,0.8,1.0,0.0,-0.8930563926696777,1.0502310991287231,-0.6466375589370728,-0.07199084758758545,1,143,nominal,2,40,42,1.0,0.0,walk
41,0.8200000000000001,1.0,0.0,-0.8926622271537781,1.1081559658050537,-0.6615481376647949,-0.015715956687927246,1,143,nominal,2,40,42,1.0,0.0,walk
42,0.84,1.0,0.0,-0.8924515843391418,1.1488573551177979,-0.684738039970398,0.08374087512493134,1,143,nominal,2,40,42,1.0,0.0,walk
43,0.86,1.0,0.0,-0.8926722407341003,1.1666055917739868,-0.7158613204956055,0.20228010416030884,1,143,nominal,2,40,42,1.0,0.0,walk
44,0.88,1.0,0.0,-0.8952552080154419,1.078668236732483,-0.7712476849555969,0.330403208732605,1,143,nominal,2,40,42,1.0,0.0,walk
45,0.9,1.0,0.0,-0.8922380208969116,0.9469684362411499,-0.7593255043029785,-0.536072313785553,1,143,nominal,2,40,42,1.0,0.0,walk
46,0.92,1.0,0.0,-0.882881760597229,0.8571517467498779,-0.6987758874893188,-0.6342568397521973,1,143,nominal,2,40,42,1.0,0.0,walk
47,0.9400000000000001,1.0,0.0,-0.8777636289596558,0.8181867599487305,-0.6143504977226257,0.579250156879425,1,143,nominal,2,40,42,1.0,0.0,walk
48,0.96,1.0,0.0,-0.8859423398971558,0.8659506440162659,-0.5667115449905396,1.6983864307403564,1,143,nominal,2,40,42,1.0,0.0,walk
49,0.98,1.0,0.0,-0.9007409811019897,0.9370707273483276,-0.6100967526435852,1.8661651611328125,1,143,nominal,2,40,42,1.0,0.0,walk
50,1.0,1.0,0.0,-0.915612518787384,1.0047791004180908,-0.6798214912414551,1.661757230758667,1,143,nominal,2,40,42,1.0,0.0,walk
51,1.02,1.0,0.0,-0.9261553287506104,1.047648549079895,-0.7216577529907227,0.9752610325813293,1,143,nominal,2,40,42,1.0,0.0,walk
52,1.04,1.0,0.0,-0.9308376908302307,1.0870361328125,-0.7644717693328857,0.23029112815856934,1,143,nominal,2,40,42,1.0,0.0,walk
53,1.06,1.0,0.0,-0.9272212982177734,1.1217730045318604,-0.8322016000747681,-0.40166541934013367,1,143,nominal,2,40,42,1.0,0.0,walk
54,1.08,1.0,0.0,-0.9243404269218445,1.1802449226379395,-0.8944252729415894,-0.02282777987420559,1,143,nominal,2,40,42,1.0,0.0,walk
55,1.1,1.0,0.0,-0.9290978312492371,1.2475168704986572,-0.9414485692977905,0.6581990122795105,1,143,nominal,2,40,42,1.0,0.0,walk
56,1.12,1.0,0.0,-0.9384702444076538,1.3165440559387207,-0.9887577295303345,0.8972554802894592,1,143,nominal,2,40,42,1.0,0.0,walk
57,1.1400000000000001,1.0,0.0,-0.9479420185089111,1.3647161722183228,-1.0471069812774658,0.7474492788314819,1,143,nominal,2,40,42,1.0,0.0,walk
58,1.16,1.0,0.0,-0.9529379606246948,1.3977577686309814,-1.1051002740859985,0.05971609428524971,1,143,nominal,2,40,42,1.0,0.0,walk
59,1.18,1.0,0.0,-0.9507685899734497,1.434705138206482,-1.1403205394744873,-0.7864254713058472,1,143,nominal,2,40,42,1.0,0.0,walk
60,1.2,1.0,0.0,-0.9406715631484985,1.4783660173416138,-1.129058837890625,-1.5627737045288086,1,143,nominal,2,40,42,1.0,0.0,walk
61,1.22,1.0,0.0,-0.9256082773208618,1.457034945487976,-1.0449905395507812,-1.4127981662750244,1,143,nominal,2,40,42,1.0,0.0,walk
62,1.24,1.0,0.0,-0.9259088039398193,1.3291990756988525,-0.8481847643852234,0.6629143953323364,1,143,nominal,2,40,42,1.0,0.0,walk
63,1.26,1.0,0.0,-0.9362796545028687,1.160172700881958,-0.6302561163902283,0.8186027407646179,1,143,nominal,2,40,42,1.0,0.0,walk
64,1.28,1.0,0.0,-0.9375473260879517,1.0349900722503662,-0.41471394896507263,-0.5430588722229004,1,143,nominal,2,40,42,1.0,0.0,walk
65,1.3,1.0,0.0,-0.923529326915741,0.9969340562820435,-0.3028883635997772,-2.0200295448303223,1,143,nominal,2,40,42,1.0,0.0,walk
66,1.32,1.0,0.0,-0.9043102264404297,1.0276004076004028,-0.26060599088668823,-1.8971123695373535,1,143,nominal,2,40,42,1.0,0.0,walk
67,1.34,1.0,0.0,-0.8945091962814331,1.0771602392196655,-0.2689054608345032,-0.6686916351318359,1,143,nominal,2,40,42,1.0,0.0,walk
68,1.36,1.0,0.0,-0.8977665901184082,1.116523265838623,-0.3253854811191559,0.5716612935066223,1,143,nominal,2,40,42,1.0,0.0,walk
69,1.3800000000000001,1.0,0.0,-0.9090290069580078,1.0999923944473267,-0.395009309053421,0.8743841648101807,1,143,nominal,2,40,42,1.0,0.0,walk
70,1.4000000000000001,1.0,0.0,-0.9208789467811584,1.0708751678466797,-0.43952465057373047,0.763817548751831,1,143,nominal,2,40,42,1.0,0.0,walk
71,1.42,1.0,0.0,-0.9287968873977661,1.0594841241836548,-0.45700716972351074,0.2876003682613373,1,143,nominal,2,40,42,1.0,0.0,walk
72,1.44,1.0,0.0,-0.9325556755065918,1.0898852348327637,-0.4708746671676636,0.002184486947953701,1,143,nominal,2,40,42,1.0,0.0,walk
73,1.46,1.0,0.0,-0.9343834519386292,1.1475273370742798,-0.4901316463947296,-0.01010395772755146,1,143,nominal,2,40,42,1.0,0.0,walk
74,1.48,1.0,0.0,-0.9363936185836792,1.2009540796279907,-0.504382848739624,0.14675986766815186,1,143,nominal,2,40,42,1.0,0.0,walk
75,1.5,1.0,0.0,-0.9427419900894165,1.2471436262130737,-0.5252910852432251,0.8000677227973938,1,143,nominal,2,40,42,1.0,0.0,walk
76,1.52,1.0,0.0,-0.9544928073883057,1.2904348373413086,-0.5727483630180359,1.1780017614364624,1,143,nominal,2,40,42,1.0,0.0,walk
77,1.54,1.0,0.0,-0.968268871307373,1.343927264213562,-0.6392209529876709,1.2013192176818848,1,143,nominal,2,40,42,1.0,0.0,walk
78,1.56,1.0,0.0,-0.9801332950592041,1.4136314392089844,-0.7016416788101196,0.8581101298332214,1,143,nominal,2,40,42,1.0,0.0,walk
79,1.58,1.0,0.0,-0.987959086894989,1.4925670623779297,-0.7562928199768066,0.5797708630561829,1,143,nominal,2,40,42,1.0,0.0,walk
80,1.6,1.0,0.0,-0.9937851428985596,1.5711184740066528,-0.7967652678489685,0.5330039262771606,1,143,nominal,2,40,42,1.0,0.0,walk
81,1.62,1.0,0.0,-1.0000349283218384,1.645329475402832,-0.8365560173988342,0.7033666372299194,1,143,nominal,2,40,42,1.0,0.0,walk
82,1.6400000000000001,1.0,0.0,-1.0083082914352417,1.714406967163086,-0.8730539083480835,0.8996147513389587,1,143,nominal,2,40,42,1.0,0.0,walk
83,1.6600000000000001,1.0,0.0,-1.01884925365448,1.688133955001831,-0.9218247532844543,1.0372023582458496,1,143,nominal,2,40,42,1.0,0.0,walk
84,1.68,1.0,0.0,-1.022530198097229,1.4837538003921509,-0.957832932472229,-0.26425373554229736,1,143,nominal,2,40,42,1.0,0.0,walk
85,1.7,1.0,0.0,-1.0158458948135376,1.1913883686065674,-0.9494152069091797,-0.5793498754501343,1,143,nominal,2,40,42,1.0,0.0,walk
86,1.72,1.0,0.0,-1.012176513671875,0.9207426309585571,-0.8736631870269775,0.274721622467041,1,143,nominal,2,40,42,1.0,0.0,walk
87,1.74,1.0,0.0,-1.016460657119751,0.7373891472816467,-0.8026506304740906,1.4038387537002563,1,143,nominal,2,40,42,1.0,0.0,walk
88,1.76,1.0,0.0,-1.0282821655273438,0.722806990146637,-0.7480615973472595,1.9992567300796509,1,143,nominal,2,40,42,1.0,0.0,walk
89,1.78,1.0,0.0,-1.0348877906799316,0.8557011485099792,-0.784834086894989,1.0910398960113525,1,143,nominal,2,40,42,1.0,0.0,walk
90,1.8,1.0,0.0,-1.034609317779541,1.0387998819351196,-0.8354728817939758,0.357937753200531,1,143,nominal,2,40,42,1.0,0.0,walk
91,1.82,1.0,0.0,-1.0322822332382202,1.1953216791152954,-0.8601865172386169,0.17683789134025574,1,143,nominal,2,40,42,1.0,0.0,walk
92,1.84,1.0,0.0,-1.032713532447815,1.300751805305481,-0.8991199731826782,0.472383975982666,1,143,nominal,2,40,42,1.0,0.0,walk
93,1.86,1.0,0.0,-1.0341827869415283,1.3429292440414429,-0.9619388580322266,0.604292631149292,1,143,nominal,2,40,42,1.0,0.0,walk
94,1.8800000000000001,1.0,0.0,-1.0392651557922363,1.3732579946517944,-1.0552345514297485,0.9808310270309448,1,143,nominal,2,40,42,1.0,0.0,walk
95,1.9000000000000001,1.0,0.0,-1.0494496822357178,1.4483786821365356,-1.1602342128753662,1.4549705982208252,1,143,nominal,2,40,42,1.0,0.0,walk
96,1.92,1.0,0.0,-1.0647366046905518,1.504220724105835,-1.261127233505249,1.719024658203125,1,143,nominal,2,40,42,1.0,0.0,walk
97,1.94,1.0,0.0,-1.0792821645736694,1.5378742218017578,-1.3446872234344482,1.2008264064788818,1,143,nominal,2,40,42,1.0,0.0,walk
